filename,original score,file length,pad length,loss,predict score
iexplore.exe,0.68603915,822536,0,,
iexpress.exe,0.68574554,152064,0,,
iisreset.exe,0.6586843,8232,823,,
iisrstas.exe,0.77966416,16528,1652,,
iissetup.exe,0.3089376,59330,5933,0.3089374899864197,0.30893760919570923
ilasm.exe,0.9995665,296552,0,,
ImagingDevices.exe,0.9389052,103176,0,,
IMCCPHR.exe,0.9980416,395776,0,,
ImeBroker.exe,0.0001261506,568320,0,,
imecfmui.exe,0.7729038,232448,0,,
IMEPADSV.EXE,0.3157265,268288,0,,
IMESEARCH.EXE,0.99218106,140288,0,,
IMEWDBLD.EXE,0.88877064,291328,0,,
IMJPDCT.EXE,0.99359435,453120,0,,
IMJPSET.EXE,0.4639479,128000,0,,
IMJPUEX.EXE,0.8547889,78848,1152,,
imjpuexc.exe,0.8699413,288768,0,,
immersivetpmvscmgrsvr.exe,0.00012736543,142848,0,,
IMTCLNWZ.EXE,0.9679051,73728,6272,,
IMTCPROP.exe,0.99998474,443904,0,,
inetinfo.exe,0.9937145,7238,723,,
InetMgr.exe,0.20282274,105088,0,,
InetMgr6.exe,0.80604124,10202,1020,,
InfDefaultInstall.exe,0.30977434,11776,1177,0.9996917843818665,1.0
InputPersonalization.exe,1.3267337e-05,369152,0,,
InspectVhdDialog.exe,0.7087378,33842,3384,,
InspectVhdDialog6.2.exe,0.9969571,26596,2659,,
InspectVhdDialog6.3.exe,0.5684604,26608,2660,0.9999196529388428,1.0
InstallUtil.exe,0.932669,41064,4106,,
instnm.exe,0.9935775,8704,870,,
ipconfig.exe,0.146806,29184,2918,0.1468047946691513,0.146806001663208
irftp.exe,0.00045908114,184832,0,,
iscsicli.exe,0.14137821,150528,0,,
iscsicpl.exe,0.039187357,120320,0,,
isoburn.exe,0.99372303,106496,0,,
jsc.exe,0.5889685,46688,4668,0.5889697074890137,0.5889685153961182
junction.exe,0.95636123,150392,0,,
klist.exe,0.45464852,37376,3737,0.4546492099761963,0.45464852452278137
ksetup.exe,0.0048590284,37376,3737,0.00485902838408947,0.00485902838408947
ktmutil.exe,0.92282885,15360,1536,,
label.exe,0.036594357,15360,1536,0.03659456595778465,0.03659435734152794
LanguageComponentsInstallerComHandler.exe,0.00017721324,50688,5068,0.00017721291806083173,0.00017721323820296675
last.exe,0.76480544,15891,1589,,
LaunchTM.exe,0.7715369,182784,0,,
LaunchWinApp.exe,0.9969959,33280,3328,,
ldifde.exe,0.9834971,33708,3370,,
ldp.exe,0.012758971,113550,0,,
LegacyNetUXHost.exe,0.0121771265,200192,0,,
LicenseManagerShellext.exe,0.17562488,46080,4608,0.17562465369701385,0.17562487721443176
licensingdiag.exe,0.029427502,223744,0,,
LicensingUI.exe,0.10365187,146776,0,,
LocationNotificationWindows.exe,0.36014935,66048,6604,0.3601488471031189,0.3601493537425995
Locator.exe,0.42380828,10752,1075,0.4238082468509674,0.4238082766532898
LockApp.exe,0.025541503,3744160,0,,
LockAppHost.exe,0.0006357139,88408,0,,
LockScreenContentServer.exe,0.00056638615,47600,4760,0.00056638935348019,0.0005663861520588398
lodctr.exe,0.9903197,43008,4300,,
logagent.exe,0.3995225,86016,0,,
LogCollector.exe,0.5936951,40918,4091,0.9992888569831848,0.6686436533927917
logman.exe,0.09961605,97792,0,,
logoff.exe,0.21362253,22528,2252,0.21362267434597015,0.21362252533435822
LogonUI.exe,0.31694221,13312,1331,0.3169415593147278,0.3169422149658203
lpkinstall.exe,0.005117146,40960,4096,0.0051171486265957355,0.005117145832628012
lpksetup.exe,0.036226016,732160,0,,
lpq.exe,0.9996595,4708,470,,
lpr.exe,0.07787268,5668,566,1.0,0.8691354393959045
lpremove.exe,0.20064336,43008,4300,0.20064358413219452,0.2006433606147766
ls.exe,0.0061411858,116253,0,,
LsaIso.exe,8.376591e-05,275400,0,,
lsass.exe,0.11668332,57976,5797,0.9469007849693298,0.4147774279117584
LxRun.exe,0.8295644,67826,6782,,
Magnify.exe,0.008815174,736768,0,,
makecab.exe,0.9428956,68608,6860,,
MiniConfigBuilder.exe,0.4914442,13312,1331,0.49144458770751953,0.4914442002773285
UpdateCheck.exe,0.32340264,8192,819,0.9552100300788879,1.0
5a765351046fea1490d20f25.exe,0.9406291,386048,0,,
798_abroad.exe,0.44684443,1638624,0,,
7ZipSetup.exe,0.9296553,162032,0,,
aapt.exe,0.7786838,854016,0,,
abba_-_happy_new_year_zaycev_net.exe,0.9055117,194968,0,,
Build.exe,0.074915186,401408,0,,
gchrome.exe,0.39910644,2930176,0,,
hostr.exe,0.021330705,107520,0,,
InstallBC201401.exe,0.93826044,13370880,0,,
MiniConfigBuilder.exe,0.4914442,13312,1331,0.49144458770751953,0.4914442002773285
raffle.exe,0.979989,1787208,0,,
UpdateCheck.exe,0.32340264,8192,819,0.9552100300788879,1.0
Vcffipzmnipbxzdl.exe,0.9621811,846848,0,,
Win32.GravityRAT.exe,0.0010374399,660480,0,,
wirelesskeyview.exe,0.98812497,177568,0,,
